Meal,PageRank Score,Degree
Fries,0.056060496057969866,11
Coke,0.05377475179897688,13
Garlic Bread,0.042250682734977646,9
Pepsi,0.03555561697295002,5
Jasmine Tea,0.031196976493187756,5
Guacamole,0.029817727494424177,5
Caesar Salad,0.028998795020298784,5
Horchata,0.028807031885032426,5
Green Salad,0.028007567335645703,4
Lemonade,0.02733822878576348,6
Spring Rolls,0.026587922372660583,5
Edamame,0.02495453668784596,5
Miso Soup,0.023791459851947007,6
Salmon Sushi,0.023660452482634826,6
Chicken Wrap,0.023513448697790103,4
Smoothie,0.02232656587971013,3
Coleslaw,0.02220741303216596,4
Chicken Taco,0.02149232949964354,3
Ramen,0.02145869579605337,5
Dumpling,0.021276471004617735,5
Tuna Roll,0.02119597800372814,5
Onion Rings,0.021004891453125882,7
Margherita Pizza,0.020907723245829776,4
Beef Taco,0.02078701649833182,5
Shrimp Tempura,0.020438731795183254,6
Greek Salad,0.019784594240936114,3
Dragon Roll,0.019343861827938555,5
Avocado Toast,0.01915027683882626,3
Pepperoni Pizza,0.01886321845325191,4
Double Burger,0.017139337962296074,5
Penne Arrabiata,0.016263623053438037,4
Burger,0.015816301284925408,3
Pad Thai,0.015761727688979307,4
Nachos,0.015505801343099193,4
Beef Wrap,0.015345595207658188,4
Udon,0.014152989253196867,4
Fish Taco,0.01402487588816449,4
Falafel Wrap,0.012930782681436574,5
Tiramisu,0.012542914712930758,4
Fettuccine Alfredo,0.01227135416214634,4
Quinoa Bowl,0.012237009992592125,3
Spaghetti Carbonara,0.011141013421366131,3
Veggie Burger,0.011037548632667257,2
BBQ Chicken Pizza,0.010709344554754035,4
Chicken Strips,0.009461459915603352,4
Milkshake,0.009104858003298185,3
